Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-04-09,86.9735,87.2402,84.7962,85.0254,651574.97753357
2018-04-10,86.8964,87.8325,85.5021,87.221,777976.29048295
2018-04-11,87.221,88.8061,86.6105,87.7564,688349.34613971
2018-04-12,86.935,88.1955,86.2282,87.8517,645590.43269757
2018-04-13,88.8061,89.5514,87.9471,88.1378,437122.03769994
2018-04-16,88.1378,89.1883,88.1002,88.7108,437149.03720814
2018-04-17,88.7108,89.1499,88.1002,88.6539,552905.27482977
2018-04-18,89.4936,91.1933,88.8061,91.1933,653179.37138601
2018-04-19,91.2896,93.3706,90.7166,91.5756,778930.61925343
2018-04-20,91.5187,92.4355,90.6974,91.4042,377332.66524161
2018-04-23,91.6901,92.4163,86.7819,87.4126,842898.68482647
2018-04-24,87.8517,89.7614,87.8132,88.6153,583544.52441959
2018-04-25,86.8964,88.2331,86.6297,86.8964,2177985.9427621
2018-04-26,86.7626,89.0352,86.1328,89.0352,653279.06187781
2018-04-27,89.2837,89.9712,87.584,88.0809,402098.48335608
2018-04-30,88.4815,90.0098,87.7371,89.4176,605307.16646852
2018-05-02,90.0483,91.5371,89.4753,91.4803,398662.27671677
2018-05-04,91.4803,91.4803,88.1002,88.52,631615.07187806
2018-05-07,88.8061,88.9591,87.3549,87.8325,237647.59425959
2018-05-08,88.2331,88.6153,87.1835,88.3294,628205.86474695
2018-05-09,88.3294,89.9337,88.157,89.2837,392939.41942176
2018-05-10,89.6853,94.4212,89.3223,92.6262,1027957.4677752
2018-05-11,93.1039,93.9436,92.1486,93.1039,352066.31778288
2018-05-14,93.5814,93.7529,90.7166,90.7166,671200.50466449
2018-05-15,88.4247,90.5827,87.1064,88.0424,1139936.8895772
2018-05-16,88.3294,88.8061,85.7698,88.0424,942056.45556305
2018-05-17,88.6153,91.0026,87.0303,90.7166,2166780.108418
2018-05-18,90.7166,91.3464,87.7371,89.2837,573909.85376396
2018-05-21,89.8952,90.3344,89.4936,89.8759,518263.86737115
2018-05-22,88.8061,90.6974,88.4247,89.6468,648015.19622213
2018-05-23,88.9024,89.2837,86.5527,88.4055,733218.37499165
2018-05-24,88.4247,90.1244,88.1002,89.2837,484857.1681912
2018-05-25,89.5514,89.9145,86.9919,87.2027,319099.91827506
2018-05-28,87.8517,87.8517,85.3114,85.3692,267481.012374
2018-05-29,85.5599,86.1136,84.1462,84.1462,544581.11876429
2018-05-30,82.9242,83.6502,80.8239,80.9,1521399.4411302
2018-06-01,81.0906,84.1462,80.4985,84.1462,455930.31048661
2018-06-04,88.3101,88.9977,85.4838,88.9977,732549.61794248
2018-06-05,89.1883,92.3392,88.4439,92.1678,1189583.7929373
2018-06-06,92.3392,93.3898,91.4418,92.0533,838931.83400684
2018-06-07,93.3898,93.9628,91.6709,92.4731,587660.91097692
2018-06-08,90.9073,92.6262,90.9073,91.9386,693772.09351669
2018-06-11,91.6709,91.8809,89.3983,91.1933,643229.01417301
2018-06-12,91.8433,91.8433,88.9591,89.303,742476.09097516
2018-06-13,89.2269,89.5707,88.3862,89.093,624304.43581257
2018-06-14,88.2523,88.8446,87.6611,87.9471,397335.14704466
2018-06-15,87.9471,88.4247,85.1968,85.1968,856834.58482631
2018-06-18,85.5599,86.6866,83.0773,83.0773,388496.96188082
2018-06-19,81.4537,82.122,79.8494,81.3583,604212.64794394
2018-06-20,82.409,84.49,80.5947,80.5947,591443.95745228
2018-06-21,81.4537,83.0388,80.5562,82.1798,819710.26105624
2018-06-22,83.2872,84.4139,82.2751,83.0773,376975.44097932
2018-06-25,83.2295,84.4139,82.122,82.409,419794.58409358
2018-06-26,82.409,84.0316,82.409,82.695,313720.78548823
2018-06-27,82.409,83.4404,81.7397,83.3257,890813.4658915
2018-06-28,82.8856,83.3633,82.2366,82.5804,698205.20507402
2018-06-29,83.0773,84.204,82.9819,84.0316,631294.19310757
2018-07-02,83.7649,85.2728,83.7649,83.9171,463821.43597833
2018-07-03,84.2801,86.4766,84.0316,86.362,436186.40089667
2018-07-04,85.9422,86.4959,85.14,85.5021,1047142.695234
2018-07-05,85.0822,89.5707,85.0822,86.8964,990717.87687397
2018-07-06,87.3741,88.4815,86.0943,86.0943,554519.01466582
2018-07-09,89.2837,89.2837,87.8517,88.3294,561378.96663295
2018-07-10,88.8061,89.093,87.2027,87.4694,460557.61081443
2018-07-11,85.6937,85.8458,84.4331,85.2353,591268.46064901
2018-07-12,86.3043,87.0496,85.5599,85.5599,509463.06614174
2018-07-13,85.9422,86.3043,84.6999,84.6999,322043.90311109
2018-07-16,84.8145,85.4645,84.2993,84.9869,491286.16646982
2018-07-17,85.5984,88.9024,84.5092,88.9024,486079.4151584
2018-07-18,88.2331,88.9399,87.4502,88.1185,283052.45950497
2018-07-19,87.8517,87.8517,85.9797,86.3235,923525.4469567
2018-07-20,86.8964,88.157,85.6552,86.8964,569846.4277804
2018-07-23,87.5079,89.1499,87.2402,88.7492,371711.57532364
2018-07-24,89.093,92.9122,88.8253,92.7216,1322283.2603948
2018-07-25,92.7601,92.8939,91.4995,92.0533,513663.56655153
2018-07-26,92.2439,93.3706,91.9954,93.0846,716105.87900824
2018-07-27,92.6262,93.2945,92.0725,93.0846,170998.26983412
2018-07-30,91.748,92.1486,90.7359,91.6709,530983.75105953
2018-07-31,91.4803,92.6069,90.8119,92.1486,792109.49458115
2018-08-01,91.748,92.1871,90.2197,91.6709,539367.09835452
2018-08-02,90.525,90.9073,87.6033,87.794,679819.57843489
2018-08-03,88.2331,89.5707,87.6226,88.2909,444850.12769985
2018-08-06,88.5586,88.6539,87.3934,88.3101,188370.37647327
2018-08-07,89.6082,90.7166,89.3415,90.7166,375535.1210613
2018-08-08,90.6213,91.3079,88.0424,88.2331,610123.46335371
2018-08-09,88.9399,90.0098,88.0424,89.7614,412506.7937658
2018-08-10,88.6539,88.7685,86.1328,86.2282,727246.29146713
2018-08-13,86.4188,87.2788,85.6166,86.6481,347079.71630752
2018-08-14,87.3741,87.4694,85.2728,85.4067,436925.77204421
2018-08-16,84.6046,84.6046,82.5043,84.0316,713298.96859844
2018-08-17,84.4139,84.6999,79.2764,80.2124,1153078.3809705
2018-08-20,81.263,81.836,79.391,80.0218,621041.64909129
2018-08-21,80.5177,83.0773,80.4031,82.8289,717947.03777871
2018-08-22,82.5997,83.7263,82.122,83.3257,399346.61040529
2018-08-23,82.409,83.2295,82.1606,82.8289,616237.81351758
2018-08-24,83.0966,84.6816,82.7903,84.0893,422319.03810995
2018-08-27,84.7384,88.0232,84.6623,88.0232,533266.24794475
2018-08-28,88.0424,89.5707,87.4887,89.0738,614893.03032087
2018-08-29,88.7108,89.3983,87.9856,88.73,448980.01401128
2018-08-30,88.2909,89.1691,87.6611,88.0232,599932.18745219
2018-08-31,87.8517,87.9471,86.5334,86.7058,660186.7822056
2018-09-03,86.4188,89.4753,86.362,88.52,412230.56802809
2018-09-04,87.8517,89.0738,83.841,84.0701,911820.12171093
2018-09-05,84.2232,84.9676,82.3512,83.268,719230.55286067
2018-09-06,83.841,85.7505,83.1534,83.1534,476508.08950277
2018-09-07,83.4404,83.7456,79.6394,80.8423,779556.80015506
2018-09-10,81.0714,82.4273,80.0218,81.6444,339231.16696335
2018-09-11,83.2111,83.268,78.7988,78.8373,718484.9510574
2018-09-12,79.5249,81.1292,78.0158,79.3149,775359.41507314
2018-09-13,81.0714,82.6189,80.2885,80.7854,664815.12097604
2018-09-14,81.1677,81.836,80.2317,81.0145,315849.59286526
2018-09-17,80.1171,80.537,78.8373,79.1618,527971.22901038
2018-09-18,79.8302,81.6829,79.4488,81.6444,541491.75196105
2018-09-19,82.695,84.6816,81.9882,83.4586,845839.55433463
2018-09-20,83.4586,84.4717,82.7142,83.2487,515569.10876462
2018-09-21,84.5092,86.5152,84.5092,85.4645,3976146.9579875
2018-09-24,85.0822,86.8772,84.7962,86.7626,548497.0858954
2018-09-25,85.8458,87.6226,85.5984,86.9735,691670.28564787
2018-09-26,86.8204,89.1883,86.8204,88.7108,818856.66122019
2018-09-27,87.871,88.1002,85.5599,86.2475,753191.78040126
2018-09-28,86.3043,86.8589,83.3633,85.0822,778803.92925343
