Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-04-20,2322.32,2334.22,2298.2,2298.2,21450260
2018-04-23,2299.31,2309.34,2289.68,2291.59,17634832
2018-04-24,2296.24,2315.26,2269.06,2269.06,20941112
2018-04-25,2266.88,2276.97,2253.15,2257,20466343
2018-04-26,2257.11,2284.31,2253.3,2283.15,18865261
2018-04-27,2286.49,2291.15,2271.05,2276.41,16392986
2018-04-30,2277.25,2298.23,2277.11,2291.87,12114602
2018-05-02,2291.87,2306.05,2284.35,2291.92,15073914
2018-05-04,2280.5,2280.5,2227.94,2233.35,18285048
2018-05-07,2242.8,2251.42,2213.06,2214.36,11497852
2018-05-08,2215.62,2236.4,2210.68,2236.4,26740130
2018-05-09,2236.49,2282,2236.49,2281.12,22327696
2018-05-10,2292.11,2311.55,2279.41,2302.71,26545502
2018-05-11,2303.97,2329.36,2299.44,2329.36,16771590
2018-05-14,2328.58,2333.07,2308.97,2321.09,15057691
2018-05-15,2311.71,2311.71,2273.5,2276.45,37033002
2018-05-16,2278.96,2278.96,2254.88,2275.91,21012834
2018-05-17,2269.54,2280.22,2253.6,2255.78,23789484
2018-05-18,2256.15,2268.61,2222.17,2230.32,21799223
2018-05-21,2231.47,2272.61,2231.47,2268.39,16848588
2018-05-22,2267.88,2269.15,2237.66,2248.71,19612175
2018-05-23,2242.19,2242.19,2200.81,2209.32,28548637
2018-05-24,2212.23,2241.43,2208.72,2213.26,30163221
2018-05-25,2216.49,2226,2196.02,2213.24,29693344
2018-05-28,2214.87,2232.88,2204.55,2217.87,12348420
2018-05-29,2208.65,2208.65,2161.35,2191.95,36309856
2018-05-30,2186.58,2186.58,2151.5,2157.07,159374900
2018-06-01,2158,2190.26,2144.73,2190.26,30134367
2018-06-04,2198.46,2221.05,2198.35,2210.1,20707694
2018-06-05,2217.1,2255.95,2197.38,2255.95,24148980
2018-06-06,2259.34,2266.11,2247.02,2256.67,23621089
2018-06-07,2267.32,2287.02,2260.17,2270.75,24576734
2018-06-08,2260.53,2260.53,2244.42,2250.06,17546792
2018-06-11,2259.61,2266.29,2229.68,2234.52,13890412
2018-06-12,2237.53,2256.63,2235.84,2252.39,17687950
2018-06-13,2256.86,2256.86,2227.14,2238.94,23765149
2018-06-14,2232.51,2247.99,2219.84,2238.39,18220100
2018-06-15,2240.09,2245.12,2203.01,2203.01,47615526
2018-06-18,2203.75,2209.5,2146.34,2150.98,15522433
2018-06-19,2137.66,2137.66,2108.1,2120.75,23457249
2018-06-20,2126.96,2176.46,2126.96,2154.18,16667292
2018-06-21,2159.39,2167.56,2127.92,2150.91,19893957
2018-06-22,2158.13,2174.15,2155.02,2162.88,21100094
2018-06-25,2154.93,2177.65,2149.03,2155.9,18592500
2018-06-26,2156.24,2174.11,2151.81,2153.4,18245830
2018-06-27,2149.33,2154.87,2129.8,2143.25,19418575
2018-06-28,2141.71,2141.71,2096.93,2098.75,19639940
2018-06-29,2111.05,2135.47,2111.05,2135.47,21960104
2018-07-02,2119.7,2125.11,2097.76,2119.31,15836242
2018-07-03,2125.36,2162.03,2123.69,2160.24,12363487
2018-07-04,2156.43,2182.51,2156.39,2182.51,9607409
2018-07-05,2164.27,2184.32,2154.51,2156.59,13916390
2018-07-06,2158.24,2165.15,2148.83,2152.06,14266167
2018-07-09,2162.62,2174.69,2141.14,2151.7,11232643
2018-07-10,2154.32,2194.86,2144.66,2177.67,20828950
2018-07-11,2171.87,2171.87,2150.88,2154.28,13982675
2018-07-12,2160.13,2169.94,2157.49,2161.2,13201054
2018-07-13,2169.37,2173.75,2147.66,2157.14,11278845
2018-07-16,2155.15,2165.93,2133.98,2133.98,9572086
2018-07-17,2141.57,2154.62,2132.06,2153.21,16471405
2018-07-18,2155.27,2167.04,2140.81,2149.12,15720475
2018-07-19,2137.6,2150.64,2127.36,2146.82,19914424
2018-07-20,2142.09,2182.92,2138.68,2182.92,24525499
2018-07-23,2189.2,2213.88,2184.77,2204.53,17749877
2018-07-24,2209.65,2249.28,2209.65,2244.27,21409637
2018-07-25,2250.61,2268.2,2236.63,2260.7,15241676
2018-07-26,2263.96,2309.86,2263.96,2304.67,21761558
2018-07-27,2306.43,2309.18,2285.08,2290.77,13807162
2018-07-30,2289.23,2327.77,2281.26,2327.77,15672724
2018-07-31,2322.89,2327.2,2294.9,2302.13,22469798
2018-08-01,2304.04,2315.48,2278.54,2315.48,19268130
2018-08-02,2309.85,2309.85,2278.44,2283.94,14948812
2018-08-03,2284.28,2301.97,2277.56,2286.92,10677341
2018-08-06,2290.1,2295.82,2267.3,2295.82,8405164
2018-08-07,2295.3,2309.59,2291.68,2304.11,11833275
2018-08-08,2321.55,2331.79,2301.11,2307.12,21388375
2018-08-09,2308.44,2324.73,2292.39,2324.73,13225627
2018-08-10,2308.65,2308.65,2247.15,2247.15,24704314
2018-08-13,2243.43,2271.34,2230.73,2260.88,16502908
2018-08-14,2268.7,2285.87,2252.28,2272.73,12656279
2018-08-16,2262.45,2268.24,2244.42,2262.1,18812432
2018-08-17,2265.39,2265.39,2217.74,2217.74,16081282
2018-08-20,2225.55,2243.71,2225.55,2236.08,16505716
2018-08-21,2241.25,2286.19,2241.25,2281.02,14055415
2018-08-22,2275.86,2308.85,2272.72,2295.63,20831193
2018-08-23,2295.14,2331.93,2285.59,2322.86,27521516
2018-08-24,2322.94,2322.94,2308.45,2312.7,15801181
2018-08-27,2318.85,2372.83,2318.85,2369.97,17890851
2018-08-28,2374.8,2395.77,2361.78,2390.42,19468742
2018-08-29,2386.53,2390.36,2375.47,2380.68,25961500
2018-08-30,2381.65,2387.65,2352.67,2353.92,24803503
2018-08-31,2348.6,2352.7,2333.37,2337.96,23794516
2018-09-03,2340.08,2370.82,2337.21,2355.67,14019698
2018-09-04,2361.39,2377.02,2312.13,2321.24,25190843
2018-09-05,2320.8,2325.39,2295.51,2295.51,32082177
2018-09-06,2291.67,2313.51,2290.73,2293.01,22388056
2018-09-07,2294.98,2303.91,2253.47,2257.3,24016475
2018-09-10,2258.76,2274.96,2251.92,2270.83,18998699
2018-09-11,2262.79,2271.93,2234.38,2248.35,27933088
2018-09-12,2252.17,2264.81,2210.16,2210.16,38305795
2018-09-13,2213.26,2250.11,2213.26,2233.46,23603015
2018-09-14,2243.41,2250.02,2217.53,2232.07,16888313
2018-09-17,2230.43,2231.99,2209.37,2210.99,21584577
2018-09-18,2209.74,2248.51,2209.74,2231.04,20440315
2018-09-19,2239.49,2269.89,2221.57,2259.1,31898025
2018-09-20,2261.41,2272.24,2253.6,2258.63,26680815
2018-09-21,2266.96,2286.76,2256.52,2257.47,143565896
2018-09-24,2261.65,2283.58,2261.65,2280.6,23647381
2018-09-25,2285.8,2310.95,2280.16,2290.19,20454785
2018-09-26,2292.73,2304.45,2285.3,2304.45,18929531
